iter	Passed	Remaining
202	301	1182
203	301	1178
204	302	1173
205	303	1168
206	303	1163
207	304	1159
208	304	1154
209	305	1149
210	306	1145
211	306	1141
212	307	1137
213	308	1133
214	309	1130
215	310	1125
216	310	1121
217	311	1118
218	312	1114
219	313	1110
220	314	1107
221	314	1103
222	315	1099
223	316	1095
224	316	1091
225	317	1087
226	318	1083
227	319	1080
228	319	1076
229	320	1072
230	321	1069
231	321	1065
232	322	1061
233	323	1058
234	324	1055
235	325	1053
236	326	1050
237	327	1047
238	328	1044
239	328	1041
240	329	1038
241	330	1034
242	330	1031
243	331	1027
244	332	1023
245	332	1020
246	333	1017
247	334	1013
248	334	1010
249	335	1006
250	336	1003
251	336	1000
252	337	997
253	338	995
254	339	992
255	340	990
256	342	990
257	343	988
258	344	985
259	345	982
260	345	979
261	346	976
262	347	973
263	347	970
264	348	966
265	349	963
266	349	960
267	350	957
268	351	954
269	351	951
270	352	949
271	353	947
272	354	944
273	355	942
274	356	940
275	357	938
276	358	935
277	359	933
278	360	931
279	360	928
280	361	925
281	362	922
282	362	919
283	363	916
284	364	913
285	365	911
286	365	908
287	366	905
288	367	903
289	367	900
290	369	899
291	370	897
292	371	895
293	371	893
294	373	891
295	373	889
296	374	886
297	375	884
298	376	882
299	376	879
300	377	877
301	378	874
302	379	872
303	380	870
304	380	868
305	381	865
306	382	863
307	383	862
308	384	860
309	385	859
310	387	857
311	387	855
312	388	852
313	389	850
314	390	849
315	391	846
316	391	844
317	392	842
318	393	839
319	393	837
320	394	834
321	395	832
322	396	830
323	397	828
324	397	826
325	398	824
326	399	823
327	400	821
328	401	819
329	402	817
330	403	815
331	403	812
332	404	810
333	405	808
334	405	805
335	406	803
336	407	801
337	407	798
338	408	796
339	409	794
340	409	792
341	410	789
342	411	787
343	412	785
344	413	784
345	414	782
346	416	783
347	417	781
348	417	779
349	418	777
350	419	775
351	419	773
352	420	770
353	421	768
354	421	766
355	422	764
356	423	762
357	424	760
358	424	758
359	425	756
360	426	754
361	426	752
362	427	750
363	428	748
364	429	747
365	430	746
366	431	744
367	432	742
368	433	740
369	433	738
370	434	736
371	435	735
372	436	734
373	437	732
374	437	729
375	438	728
376	439	726
377	440	724
378	440	722
379	441	720
380	442	718
381	442	716
382	443	715
383	444	713
384	445	711
385	446	710
386	447	708
387	448	706
388	448	704
389	449	703
390	450	701
391	450	699
392	451	697
393	452	695
394	452	693
395	453	691
396	454	690
397	455	688
398	455	686
399	456	684
400	457	682
401	457	681
402	458	679
403	459	678
404	460	676
405	461	675
406	462	673
407	462	671
408	463	670
409	464	668
410	465	666
411	465	664
412	466	663
413	467	661
414	467	659
415	468	657
416	469	656
417	470	654
418	470	652
419	471	650
420	471	648
421	472	647
422	473	645
423	474	644
424	475	642
425	475	641
426	476	639
427	477	638
428	478	636
429	478	634
430	479	633
431	480	631
432	481	629
433	481	628
434	482	626
435	483	624
436	483	623
437	484	621
438	484	619
439	485	617
440	486	616
441	486	614
442	487	612
443	488	611
444	489	610
445	489	608
446	490	607
447	491	605
448	492	604
449	493	602
450	493	601
451	494	599
452	495	598
453	496	596
454	496	595
455	497	593
456	498	591
457	498	590
458	499	588
459	500	586
460	500	585
461	501	583
462	501	582
463	502	580
464	503	579
465	504	578
466	505	576
467	506	575
468	507	574
469	507	572
470	508	571
471	509	569
472	509	568
473	510	566
474	511	564
475	511	563
476	512	561
477	512	560
478	513	558
479	514	556
480	514	555
481	515	553
482	515	552
483	516	550
484	517	549
485	517	547
486	518	546
487	519	545
488	520	544
489	521	542
490	522	541
491	522	539
492	523	538
493	524	537
494	525	535
495	525	534
496	526	532
497	526	531
498	527	529
499	528	528
500	528	526
501	529	525
502	529	523
503	530	522
504	531	520
505	531	519
506	532	517
507	533	516
508	534	515
509	535	514
510	536	512
511	536	511
512	537	510
513	538	509
514	539	507
515	539	506
516	540	505
517	541	503
518	541	502
519	542	500
520	543	499
521	543	497
522	544	496
523	545	495
524	545	493
525	546	492
526	547	490
527	547	489
528	548	488
529	549	487
530	550	486
531	551	485
532	552	483
533	552	482
534	553	481
535	554	479
536	554	478
537	555	477
538	556	475
539	556	474
540	557	472
541	557	471
542	558	470
543	559	468
544	560	467
545	560	466
546	561	465
547	562	463
548	562	462
549	563	461
550	565	460
551	566	459
552	567	458
553	568	457
554	568	456
555	569	454
556	570	453
557	570	452
558	571	451
559	572	449
560	573	448
561	573	447
562	574	445
563	575	444
564	576	443
565	576	442
566	577	440
567	578	439
568	579	438
569	580	437
570	581	436
571	581	435
572	582	434
573	583	433
574	584	431
575	584	430
576	585	429
577	586	428
578	587	426
579	587	425
580	588	424
581	589	423
582	589	421
583	590	420
584	591	419
585	591	418
586	592	416
587	593	415
588	594	414
589	595	413
590	596	412
591	596	411
592	597	410
593	598	409
594	599	407
595	599	406
596	600	405
597	601	404
598	601	402
599	602	401
600	603	400
601	603	399
602	604	398
603	605	396
604	606	395
605	606	394
606	607	393
607	608	392
608	609	391
609	610	390
610	611	389
611	612	388
612	612	386
613	613	385
614	614	384
615	615	383
616	615	382
617	616	381
618	617	379
619	617	378
620	618	377
621	619	376
622	619	375
623	620	374
624	621	372
625	622	371
626	623	370
627	623	369
628	624	368
629	625	367
630	626	366
631	627	365
632	628	364
633	629	363
634	629	361
635	630	360
636	631	359
637	631	358
638	632	357
639	633	356
640	633	355
641	634	353
642	635	352
643	636	351
644	636	350
645	637	349
646	637	348
647	638	346
648	639	345
649	640	344
650	641	343
651	642	342
652	643	341
653	643	340
654	644	339
655	645	338
656	645	337
657	646	336
658	647	334
659	647	333
660	648	332
661	649	331
662	649	330
663	650	329
664	651	327
665	651	326
666	652	325
667	652	324
668	653	323
669	654	322
670	655	321
671	656	320
672	657	319
673	658	318
674	658	317
675	659	316
676	660	314
677	660	313
678	661	312
679	662	311
680	662	310
681	663	309
682	664	308
683	664	307
684	665	305
685	666	304
686	666	303
687	667	302
688	668	301
689	668	300
690	669	299
691	670	298
692	671	297
693	672	296
694	673	295
695	674	294
696	674	293
697	675	292
698	676	291
699	676	290
700	677	288
701	678	287
702	678	286
703	679	285
704	679	284
705	680	283
706	681	282
707	681	281
708	682	280
709	683	279
710	684	278
711	685	277
712	685	276
713	686	275
714	687	274
715	688	273
716	689	271
717	689	270
718	690	269
719	691	268
720	691	267
721	692	266
722	692	265
723	693	264
724	694	263
725	694	262
726	695	261
727	696	260
728	696	258
729	697	257
730	697	256
731	698	255
732	699	254
733	700	253
734	701	252
735	702	251
736	703	250
737	703	249
738	704	248
739	705	247
740	705	246
741	706	245
742	707	244
743	707	243
744	708	242
745	709	241
746	709	240
747	710	239
748	710	238
749	711	237
750	712	236
751	712	235
752	713	234
753	714	233
754	715	232
755	716	231
756	717	230
757	718	229
758	718	228
759	719	227
760	720	226
761	720	225
762	721	224
763	721	223
764	722	221
765	723	220
766	723	219
767	724	218
768	724	217
769	725	216
770	726	215
771	726	214
772	727	213
773	727	212
774	728	211
775	729	210
776	730	209
777	731	208
778	732	207
779	733	206
780	734	205
781	734	204
782	735	203
783	736	202
784	736	201
785	737	200
786	737	199
787	738	198
788	739	197
789	739	196
790	740	195
791	741	194
792	741	193
793	742	192
794	742	191
795	743	190
796	744	189
797	745	188
798	746	187
799	747	186
800	748	185
801	749	184
802	750	183
803	750	183
804	751	182
805	752	181
806	752	180
807	753	179
808	754	178
809	754	177
810	755	176
811	755	175
812	756	174
813	757	173
814	758	172
815	758	171
816	759	170
817	760	169
818	761	168
819	762	167
820	763	166
821	764	165
822	764	164
823	765	163
824	766	162
825	766	161
826	767	160
827	768	159
828	769	158
829	770	157
830	770	156
831	771	155
832	772	154
833	773	154
834	774	153
835	775	152
836	776	151
837	777	150
838	778	149
839	779	148
840	779	147
841	780	146
842	781	145
843	782	144
844	782	143
845	783	142
846	783	141
847	784	140
848	785	139
849	785	138
850	786	137
851	787	136
852	788	135
853	789	134
854	790	133
855	791	133
856	791	132
857	792	131
858	793	130
859	794	129
860	795	128
861	795	127
862	796	126
863	797	125
864	797	124
865	798	123
866	799	122
867	799	121
868	800	120
869	801	119
870	802	118
871	802	117
872	803	116
873	804	115
874	805	115
875	806	114
876	807	113
877	808	112
878	808	111
879	809	110
880	810	109
881	810	108
882	811	107
883	812	106
884	812	105
885	813	104
886	814	103
887	814	102
888	815	101
889	816	100
890	816	99
891	817	98
892	818	98
893	819	97
894	819	96
895	820	95
896	821	94
897	822	93
898	823	92
899	824	91
900	824	90
901	825	89
902	826	88
903	826	87
904	827	86
905	828	85
906	828	84
907	829	84
908	830	83
909	830	82
910	831	81
911	832	80
912	832	79
913	833	78
914	834	77
915	835	76
916	836	75
917	837	74
918	838	73
919	838	72
920	839	72
921	840	71
922	841	70
923	841	69
924	842	68
925	843	67
926	843	66
927	844	65
928	845	64
929	845	63
930	846	62
931	847	61
932	847	60
933	848	59
934	849	59
935	850	58
936	851	57
937	852	56
938	853	55
939	853	54
940	854	53
941	855	52
942	855	51
943	856	50
944	857	49
945	858	48
946	858	48
947	859	47
948	860	46
949	860	45
950	861	44
951	862	43
952	863	42
953	864	41
954	865	40
955	866	39
956	866	38
957	867	38
958	868	37
959	869	36
960	870	35
961	871	34
962	872	33
963	872	32
964	873	31
965	874	30
966	874	29
967	875	28
968	876	28
969	877	27
970	878	26
971	879	25
972	880	24
973	880	23
974	881	22
975	882	21
976	883	20
977	884	19
978	885	18
979	885	18
980	886	17
981	887	16
982	888	15
983	889	14
984	890	13
985	890	12
986	891	11
987	892	10
988	892	9
989	893	9
990	894	8
991	895	7
992	896	6
993	897	5
994	898	4
995	899	3
996	900	2
997	900	1
998	901	0
999	902	0
